1/2n,1/2NSG
1/2nsA,1/2NSG.A
1/2pS/P,1/2PL.S/P
1/2pS/PCOND,COND.1/2PL.S/P
1/2S/P,1/2.S/P
1de,1DU.EXCL
1di,1DU.INCL
1diPOSS,1DU.INCL.POSS
1nsA,1NSG.A
1nseP,1NSG.EXCL.P
1nsiP,1NSG.INCL.P
1nsP,1NSG.P
1p,1PL
1pA,1PL.A
1pe,1PL.EXCL
1pe.POSS,1PL.EXCL.POSS
1pePOSS,1PL.EXCL.POSS
1pi,1PL.INCL
1piPOSS,1PL.INCL.POSS
1pPOSS,1PL.POSS
1s,1SG
1s>2,1SG>2
1sA,1SG.A
1sNPST,1SG.NPST
1sPOSS,1SG.POSS
1sS.OPT,1SG.S.OPT
1sS/P,1SG.S/P
2/3p,2/3PL
2/3sREFL,2/3SG.REFL
2d,2DU
2dPOSS,2DU.POSS
2MH,2.MHON
2NH,2.LHON
2nsA,2NSG.A
2p,2PL
2p.pron,2PL
2pA,2PL.A
2pPOSS,2PL.POSS
2s,2SG
2s.nh,2SG.LHON
2s.nonhonorific,2SG.LHON
2S/A,2.S/A
2sHH,2SG.HHON
2sNH,2SG.LHON
2sNH.PST,PST.2SG.LHON
2sPOSS,2SG.POSS
2sPOSS.pro,2SG.POSS
3A,3.A
3dPOSS,3DU.POSS
3MED,3.MHON
3MEDF,3.F.MHON
3ns,3NSG
3ns/A,3NSG.A
3nsP,3NSG.P
3nsS/A,3NSG.S/A
3P,3.P
3p,3PL
3pF,3PL.F
3pMED,3PL.MHON
3pPOSS,3PL.POSS
3pPROX,3PL.PROX
3pS/A,3PL.S/A
3s,3SG
3sA,3SG.A
3sDIST,3SG.DIST
3sDIST.FOC,3SG.DIST.FOC
3sDIST.MH,3SG.DIST.MHON
3sF,3SG.F
3sHH,3SG.HHON
3sMED,3SG.MHON
3sPOSS,3SG.POSS
3sPROX,3SG.PROX
3sPROX.FOC,FOC.3SG.PROX
3sPROX.MH,3SG.PROX.MHON
3sREFL,3SG.REFL
become.PST.3sS,become.PST.3SG.S
BGR,NMLZ
CAT,NMLZ
CIT,QUOT
CMPL.ITR,COMPL.INTR
CMPLZ,COMP
CNCS,CONC
COMPL,COMPL
CONCS,CONC
COP.NPST.3s,COP.NPST.3SG
d,DU
DESI,DESID
DIR,DIR
eNPST,IND.NPST
eP.IMP,IMP.EXCL.P
ePST,PST.EXCL
ERG.A,ERG
ERG.C,ERG
ERG.I,ERG
ERG.M,ERG
ERG.X,ERG
ERGI.I,ERG
FN,F
FOC3nsS/A,FOC.3NSG.S/A
FUT.1s,FUT.1SG
FUT.3sF,FUT.3SG.F
HAND,hand.over
happen.PST.3sS,happen.PST.3SG.S
HH.COND,COND.HHON
HHON,HHON
i,INCL
I.don't.1s,I.do.NEG.1SG
IDEOPh,IDEOPH
IMP.2HH,IMP.2.HHON
IMP.2MH,IMP.2.MHON
IND.IND.NPST,IND.NPST
IND.PSTDEM.PROX,IND.PST.DEM.PROX
INF2S/A,INF.2.S/A
INTERJ,INTJ
iP,INCL.P
ITR,INTR
KIND,ADN
know.NPST.3p>3s,know.NPST.3PL>3SG
MED,PERL
NEG.1/2p,NEG.1/2PL
NEG.1s,NEG.1SG
NEG.2pS,NEG.2PL.S
NPST.2HH,NPST.2.HHON
ns,NSG
nsREFL,NSG.REFL
OPT.1p,OPT.1PL
OPT.1s,OPT.1SG
OPT.2NH,OPT.2.LHON
OPT.3p,OPT.3PL
OPT.3s,OPT.3SG
PERF,PRF
PRFV.MIR,PFV.MIR
PRO,LOC
PRSV.IMP,IMP
PST.1s,PST.1SG
PST.2NH,PST.2.LHON
PST.3MEDF,PST.3.F.MHON
PST.3MH,PST.3.MHON
PST.3p,PST.3PL
PST.3s,PST.3SG
PST.NEG.1s,NEG.PST.1SG
PST.NEG.F,NEG.PST.F
PST.PTCP.2/3HH,PST.PTCP.2/3.HHON
PST.PTCP.NEG.2/3HH,NEG.PST.PTCP.2/3.HHON
PST.PTCPbe.there,be.there.PST.PTCP
SLC,school.leaving.certificate
TAG,PRAG
TMP.ABL,TEMP.ABL
v2,V2
vt,V.TR
what2S/A,what.2.S/A
???,???
1>2,1>2
1de.POSS,1DU.POSS
1dePOSS,1DU.EXCL.POSS
2,2
2>1,2>1
2sMH,2SG.MHON
3,3
3>2,3>2
3nsPOSS,3NSG.POSS
3sMED.FOC,3SG.MED.FOC
4SYL,4SYL
ABL,ABL
ABS,ABS
