0,0
0.s,0
1,1
1/2,1/2
1>2,1>2
1>3,1>3
1pl,1PL
1s,1SG
2,2
2.pl.IMP,IMP.2PL.EXCL
21.pl,2PL.INCL
21pl.IMP,2PL.INCL
2>1.IMP,IMP.2>1
2>3,2>3
2pl,2PL.EXCL
2s,2SG
2s.IMP,IMP.2SG
3,3
3.pl,3PL
3.s,3SG
3/0,3/0
3>1.IMP,IMP.3>1
3>2,3>2
3>4,3>4
3pl,3PL
3s,3SG
?,
?Eng,
causative,CAUS
comp,COMP
dem+G.pxl,DEM.PROX
dim,DIM
direct,DIR
Eng,
English,
epen,
fina;,STEM
final,STEM
final.0,STEM.0
final.1/2,STEM.1/2
final.3,STEM.3
function,STEM
FUT,FUT
fut,FUT
Future,FUT
future,FUT
future.3,FUT.3
inan.pl,INAN.PL
inchoative,INCH
incl,INCL
initial,STEM
Intj,INTJ
inverse,INV
loc,LOC
medial,STEM
ni,1
not,NEG
Obv,OBV
obv,OBV
p,DEM
p.hes,INTJ
"p,aff",AFF
"p,dem",DEM
"p,emph",EMPH
"p,focus",FOC
"p,hesitat",uh
"p,hesitate",uh
"p,intj",INTJ
"p,neg",NEG
"p,polar",Q
"p,quest",Q
past,PST
pl,PL
poss,POSS
preverb,PVB
pro.hes,thingy
pvb.conj,PVB.CONJ
redup,
TA.theme.sign,TR.ANIM
tell.x,tell.IMPERS
theme.sign,TR.ANIM
TI.theme,TR.INAN
TI.theme.sign,TR.INAN
vti.final,STEM.TR.INAN
Ø,3SG>0
Ø.IMP,IMP
0.obv.sg,0SG.OBV
0.pl,0PL
1.pl,1PL
1.sg,1SG
1.sg>0,1SG>0
1.sg>2.sg,1SG>2SG
1.sg>3.sg,1SG>3SG
2.pl,2PL.EXCL
2.sg,2SG
2.sg>0,2SG>0
2.sg>1.sg,2SG>1SG
2.sg>3.pl,2SG>3PL
2.sg>3.sg,2SG>3SG
3.pl>0,3PL>0
3.pl>2.sg,3PL>2SG
3.pl>4,3PL>4
3.sg,3SG
3.sg>0,3SG>0
3.sg>1.sg,3SG>1SG
3.sg>21.pl,3SG>1NSG.INCL
3.sg>4,3SG>4
4,4
an.obv,ANIM.OBV
an.pl,ANIM.PL
appl.passive.1/2,APPL.PASS.1/2
be,COP
caus,CAUS
don\'t,IMP.NEG
emph,EMPH
fut.1/2,FUT.1/2
fut.3,FUT.3
impers,IMPERS
inan.obv,INAN.OBV
inan.obv.pl,INAN.PL.OBV
intrans,INTR
"p,wh",WH
passive.1/2,PASS.1/2
passive.3,PASS.3
"pvb,conj",PVB.CONJ
"pvb,rel",PVB.REL
that,DIST
this,PROX
thm(vta),TR.ANIM
thm(vta.inv.non3),TR.ANIM.INV.1/2
thm(vta.non3),TR.ANIM.1/2
thm(vti),TR.INAN
thm(vti.non3),TR.INAN.1/2
thm.inv(vta),TR.ANIM.INV
vai+o,STEM.INTR.ANIM
vai+o.fin,STEM.INTR.ANIM
vai.fin,STEM.INTR.ANIM
vii.fin,STEM.INTR.INAN
vta.fin,STEM.TR.ANIM
vta.fin.passive.1/2,STEM.PASS.TR.ANIM.1/2
vti.fin,STEM.TR.INAN
vti.passive,STEM.PASS.TR.ANIM
X,IMPERS
X>3,IMPERS>3
X>3.pl,IMPERS>3PL
