1,pfx,
2,pfx,
3,pfx,
21.pl,sfx,
adj,ADJ,ADJ
adv,ADV,ADV
an.obv,sfx,
an.obv/inan.pl,sfx,
an.pl,sfx,
applic,sfx,
artcl,PRODEM,DET
baby.form,,X
chair,N,NOUN
CIN,sfx,
CIN.passive,sfx,
dem,PRODEM,PRON
dem.dst,PRODEM,PRON
dem.pxl,PRODEM,PRON
dem.pxl.inan.pl,PRODEM,PRON
dem.rem,PRODEM,PRON
dem+G.dst,PRODEM,PRON
dem+G.pxl,PRODEM,PRON
dem+G.rem,PRODEM,PRON
dim,sfx,
Eng,,
epen,,X
IC.initial,pfx,
IDP,sfx,
IIN,sfx,
imp,sfx,
impers,sfx,
impers.poss,pfx,
inan.obv,sfx,
inan.obv.pl,sfx,
inan.pl,sfx,
initial,V,VERB
initial.IC,V,VERB
initial.vta,V,VERB
l,,
loc,sfx,
medial,V,VERB
n,N,NOUN
n.pl,N,NOUN
na,N,NOUN
nad,N,NOUN
name,N,PROPN
ni,N,NOUN
nid,N,NOUN
obv,sfx,
"p,adj",ADJ,ADJ
"p,aff",INTJ,INTJ
"p,clarify",PTCL,PART
"p,conjn",CONJ,CCONJ
"p,dem",PRODEM,PRON
"p,dem.dst",PRODEM,PRON
"p,dem.focus.location",PRODEM,PRON
"p,dem.pxl",PRODEM,PRON
"p,dem.rem",PRODEM,PRON
"p,dem+G.dst",PRODEM,PRON
"p,dem+G.pxl",PRODEM,PRON
"p,dem+G.rem",PRODEM,PRON
"p,discourse",PTCL,PART
"p,emph",PTCL,PART
"p,eval",INTJ,INTJ
"p,focus",PTCL,PART
"p,hes",INTJ,INTJ
"p,intj",INTJ,INTJ
"p,loc",ADV,ADV
"p,manner",ADV,ADV
"p,neg",PTCL,PART
"p,neg.imp",,PART
"p,num",NUM,NUM
"p,quant",ADV,ADV
"p,quest",PTCL,PART
"p,time",ADV,ADV
"p,wh",ADV,ADV
p.intj,INTJ,INTJ
passive,sfx,
passive.zzz,sfx,
pl,sfx,
poss,sfx,
poss.pron.1,PRODEM,DET
poss.pron.2,PRODEM,DET
poss.pron.3,PRODEM,DET
prep,PREP,ADP
preverb,pfx,
pro,PRODEM,PRON
"pro,dem",PRODEM,PRON
"pro,focus",PRODEM,PRON
"pro,hes",PRODEM,PRON
"pro,indef",PRODEM,PRON
"pro,neg",PRODEM,PRON
"pro,wh",PRODEM,PRON
pron.1.pl,PRODEM,PRON
pron.1.sg,PRODEM,PRON
pron.2,PRODEM,PRON
pron.2+v,V,VERB
pron.3.sg,PRODEM,PRON
pron.3.sg+v,V,VERB
pvb,pfx,
"pvb,conj",pfx,
"pvb,rel",pfx,
pvb.IC,pfx,
redup,pfx,
relational,sfx,
shoe,N,NOUN
subjunctive,sfx,
thm.invvta,sfx,
thmvta,sfx,
thmvta.inv.non3,sfx,
thmvta.non3,sfx,
thmvti,sfx,
thmvti.non3,sfx,
v,V,VERB
"v,aux",V,VERB
"v,imp",V,VERB
v+pron.2.sg,V,VERB
vai,V,VERB
vai.baby.form,V,VERB
vai.child.form,V,VERB
vai.Eng,V,VERB
vai.fin,V,VERB
vai.final,V,VERB
vai+o,V,VERB
vai+o.fin,V,VERB
vii,V,VERB
vii.fin,V,VERB
vintr.fin,V,VERB
vta,V,VERB
vta.fin,V,VERB
vta.fin.passive,V,VERB
vta.final,V,VERB
vta.IMP,V,VERB
vti,V,VERB
vti.child.form,V,VERB
vti.fin,V,VERB
vtr.fin,V,VERB
wh-phrase,PRODEM,PRON
zzz,,X
