1_DUPL,1NSG
1_PL_ABS_ERG,1PL
1_SG,1SG
1_SG_ABS_ERG,1SG
2_PL,2PL
2_PL_ABS_ERG,2PL
"2_SG_ABS_ERG,",2SG
2_SG,2SG
2_SG_ABS_ERG,2SG
???!!,???
???!!!,???
????,???
ABL_3Ssg,POSS.3SG>SG.ABL
ABL_DUPL,NSG.ABL
ABL_SG,SG.ABL
ABS_1Psp,POSS.1NDU>ABS
ABS_1Sdu,POSS.1SG>DU.ABS
ABS_1Spl,POSS.1SG>PL.ABS
ABS_1Ssg,POSS.1SG>SG.ABS
ABS_2Sdu,POSS.2SG>DU.ABS
ABS_2Spl,POSS.2SG>PL.ABS
ABS_2Ssg,POSS.2SG>SG.ABS
ABS_3Dsg,POSS.3DU>SG.ABS
ABS_3Ssg,POSS.3SG>SG.ABS
ABS_3Ssg???,???
ABS_3Xdu,POSS.3>DU.ABS
ABS_3Xpl,POSS.3>PL
ABS_DU,ABS.DU
ABS_DUPL,NSG.ABS
"ABS_DUPL,",NSG.ABS
ABS_PL,PL.ABS
ABS_SG,SG.ABS
ACT,ATTN
ACT/,ATTN
AFF,ATTN
AG,AGT
ALL_1Psp,POSS.1NDU>NSG.ALL
ALL_1Ssg,POSS.1SG>SG.ALL
ALL_2Ssp,POSS.2NDU>ALL
ALL_3Ssg,POSS.3SG>SG.ALL
ALL_4Ssp,POSS.4NDU>ALL
ALL_DU,ALL.DU
ALL_DUPL,NSG.ALL
ALL_PL,PL.ALL
ALL_SG,SG.ALL
and_companions_DU,SOC.DU
and_companions_PL,SOC.PL
ANTP,ANTIP
ATN,ATTN
BW,???
CND_1pS,COND.1PL.S
CND_1sS,COND.1SG.S
CND_2sS,COND.2SG.S
CND_3sS,COND.3SG.S
CND_4sS,COND.4SG.S
CNF,AFF
"CNF,",AFF
COP???,???
CSV_1dS,CONTING.1DU.S
CSV_1pS,CONTING.1PL.S
CSV_1sS,CONTING.1SG.S
CSV_1sS_2sO,CONTING.1SG>2SG
CSV_1sS_3pO,CONTING.1SG>3PL
CSV_1sS_3sO,CONTING.1SG>3SG
CSV_2dS,CONTING.2DU.S
CSV_2sS,CONTING.2SG.S
CSV_2sS_1sO,CONTING.2SG>1SG
CSV_2sS_3pO,CONTING.2SG>3PL
CSV_2sS_3sO,CONTING.2SG>3SG
CSV_3pS,CAUS.3PL.S
CSV_3sS,CONTING.3SG.S
CSV_3sS_3sO,CONTING.3SG>3SG
CSV_3xS_2sO,CONTING.3>2SG
CSV_4dpS,CONTING.NFUT.4NSG.S
CSV_4sS,CONTING.4SG.S
CSV_4xS_1sO,CONTING.4>1SG
CTM.NEG_1pS,NEG.CONTEMP.NFUT.1PL.S
CTM.NEG_2pS,NEG.CONTEMP.NFUT.2PL.S
CTM.NEG_2sS,NEG.CONTEMP.NFUT.2SG.S
CTM.NEG_4sS,NEG.CONTEMP.NFUT.4SG.S
CTM.NEG_XxS_1sO,NEG.CONTEMP.NFUT.1SG.P
CTM.NEG_XxS_3pO,NEG.CONTEMP.NFUT.3PL.P
CTM.NEG_XxS_3sO,NEG.CONTEMP.NFUT.3SG.P
CTM_1pS,CONTEMP.NFUT.1PL.S
CTM_1sS,CONTEMP.NFUT.1SG.S
CTM_2sS,CONTEMP.NFUT.2SG.S
CTM_4dpS,CONTEMP.NFUT.4NSG.S
CTM_4sS,CONTEMP.NFUT.4SG.S
CTM_XxS_3sO,CONTEMP.NFUT.3SG.P
DIM_PEJ,DIM.PEJ
down_there.DUPL_ST,down_there.STAT.NSG
down_there.SG_ST,down_there.STAT.SG
DS,CAUS
DUB_1dpS_3pO,DUB.1NSG>3PL
DUB_1sS,DUB.1SG.S
DUB_3pS,DUB.3PL.S
DUB_3sS,DUB.3SG.S
EMPH,EMPH
EMPH_PEJ,DIM.PEJ
ENDR,DIM
ERG_1Ssg,ERG.1SG.S
ERG_2Ssp,POSS.2NDU>ERG
ERG_3Xsg,POSS.3>SG.ERG
ERG_DUPL,NSG.ERG
ERG_PL,PL.ERG
ERG_SG,SG.ERG
EXT,LOC.DEM
GER,NMLZ
here.DUPL_ST,here.STAT.NSG
here.SG_DY,here.DYN.SG
here.SG_ST,here.STAT.SG
ICM_1pS,CONTEMP.FUT.1PL.S
ICM_1sS,CONTEMP.FUT.1SG.S
ICM_2dS,CONTEMP.FUT.2DU.S
ICM_2pS,CONTEMP.FUT.2PL.S
ICM_2sS,CONTEMP.FUT.2SG.S
ICM_3xS_2pO,CONTEMP.FUT.3>2PL
ICM_4sS,CONTEMP.FUT.4SG.S
ICM_XxS_2dO,CONTEMP.FUT.2DU.P
ICM_XxS_3dO,CONTEMP.FUT.3DU.P
ICM_XxS_3pO,CONTEMP.FUT.3PL.P
ICM_XxS_3sO,CONTEMP.FUT.3SG.P
IMP_1dS,IMP.1DU.S
IMP_1dS_3spO,IMP.1DU>3NDU
IMP_1pS,IMP.1PL.S
IMP_1sS,IMP.1SG.S
IMP_1sS_2sO,IMP.1SG>2SG
IMP_1sS_3pO,IMP.1SG>3PL
IMP_1sS_3sO,IMP.1SG>3SG
IMP_2dS,IMP.2DU.S
IMP_2pS,IMP.2PL.S
IMP_2sS,IMP.2SG.S
"IMP_2sS,",IMP.2SG.S
"IMP_2sS.[""]",IMP.2SG.S
IMP_2sS_1sO,IMP.2SG>1SG
IMP_2sS_3dO,IMP.2SG>3DU
IMP_2sS_3pO,IMP.2SG>3PL
IMP_2sS_3sO,IMP.2SG>3SG
"IMP_2sS_3sO,",IMP.2SG>3SG
"IMP_2sS_3sO.[""]",IMP.2SG>3SG
IMP_3dS,IMP.3DU.S
IMP_3pS,IMP.3PL.S
IMP_3sS,IMP.3SG.S
INCP,INCEP
IND1.NEG_3sS,NEG.IND1.3SG.S
IND_1dS,IND1.1DU.S
IND_1pS,IND1.1PL.S
IND_1sS,IND1.1SG.S
IND_1sS_2sO,IND1.1SG>2SG
IND_1sS_3sO,IND1.1SG>3SG
IND_2dS,IND1.2DU.S
IND_2pS,IND1.2PL.S
IND_2sS,IND1.2SG.S
IND_2sS_3sO,IND1.2SG>3SG
IND_3dS,IND1.3DU.S
IND_3pS,IND1.3PL.S
IND_3pS_3sO,IND1.3PL>3SG
IND_3sS,IND1.3SG.S
INT.NEG_2sS,NEG.INTRG.2SG.S
INT_1dS,INTRG.1DU.S
INT_1pS,INTRG.1PL.S
INT_1sS,INTRG.1SG.S
INT_2dS,INTRG.2DU.S
INT_2pS,INTRG.2PL.S
INT_2sS,INTRG.2SG.S
INT_2sS_3pO,INTRG.2SG>3PL
INT_2sS_3sO,INTRG.2SG>3SG
INT_3dS,INTRG.3DU.S
INT_3sS,INTRG.3SG.S
LOC_1Dsp,POSS.1DU>NDU.LOC
LOC_1Ssg,POSS.1SG>SG.LOC
LOC_3Ssg,POSS.3SG>SG.LOC
LOC_PL,PL.LOC
LOC_SG,SG.LOC
MOD_1Spl,PL.INS.1SG
MOD_1Ssg,POSS.1SG>SG.INS
MOD_3Ssg,POSS.3SG>SG.INS
MOD_3Xpl,POSS.3>PL.INS
MOD_4Ssp,POSS.4NDU>INS
MOD_DUPL,NSG.INS
MOD_PL,PL.INS
MOD_SG,SG.INS
NZ_PASS,PASS.NMLZ
NZ_PASS???,???
PAR_1dS,IND2.1DU.S
PAR_1pS,IND2.1PL.S
PAR_1pS_3spO,IND2.1PL>3NDU
PAR_1sS,IND2.1SG.S
PAR_1sS_2sO,IND2.1SG>2SG
PAR_1sS_3dO,IND2.1SG>3DU
PAR_1sS_3pO,IND2.1SG>3PL
PAR_1sS_3SO,IND2.1SG>3SG
PAR_2sS,IND2.2SG.S
PAR_2sS_3dO,IND2.2SG>3DU
PAR_2sS_3pO,IND2.2SG.3PL
PAR_2sS_3sO,IND2.2SG>3SG
PAR_3dS,IND2.3DU.S
PAR_3pS,IND2.3PL.S
PAR_3sS,IND2.3SG.S
"PAR_3sS,",IND2.3SG.S
PAR_3sS_3sO,IND2.3SG>3SG
PAST,PST
PERF,PFV
POL,POL
PRSP,PRS
REP,QUOT
"REP.[""]",QUOT
self.ANA,REFL
there.DUPL_DY,there.DYN.NSG
there.DUPL_ST,there.STAT.NSG
there.SG_DY,there.DYN.SG
there.SG_ST,there.STAT.SG
up_there.SG_ST,up_there.STAT.SG
VIA,PERL
VIA_3Ssg,POSS.3SG>SG.PERL
VIA_SG,SG.PERL
VIA_SG???,???
???,???
ABL,ABL
ABL_PL,PL.ABL
ALL,ALL
CAUS,CAUS
COP,COP
CSV_3spS_3pO,CONTING.3NDU>3PL
EMPH],EMPH
FUT,FUT
HAB,HAB
here.DUPL_DY,here.DYN.NSG
I,1SG
ICM_1dS,CONTEMP.1DU.S
IMP_2sS.[],IMP.2SG.S
IMP_2sS[],IMP.2SG.S
IMP_2sS_3sO.[],IMP.2SG>3SG
IND.NEG_3sS,NEG.IND.3SG.S
IND_2sS_3pO,IND.2SG>3PL
LOC,LOC
LOC_SG],SG.LOC
MOD_2Ssp,INS.2NDU.S
NEG,NEG
PAR_1dS_3spO,IND2.1DU>3NDU
PAR_1sS_3sO,IND2.1SG>3SG
PAR_2sS_3sO],IND2.2SG>3SG
PASS,PASS
REP.[],QUOT
TR,TR
