0LI,sfx,
0NI,sfx,
0NZ,sfx,
0VI,sfx,
0VR,sfx,
0VV,sfx,
0VV.ASP,sfx,
0VV.IV,sfx,
0VV.IV.VA,sfx,
0VV.TNS,sfx,
0VV.VA,sfx,
0VZ,sfx,
ADJ,ADJ,ADJ
ADV,ADV,ADV
AR,INTJ,INTJ
CONJ,CONJ,CCONJ
DEM,PRODEM,PRON
DI,sfx,
DM,PRODEM,PRON
DR,PRODEM,PRON
EXCL,INTJ,INTJ
FIL,INTJ,INTJ
IACT,PTCL,PART
IAEX,INTJ,INTJ
LI,sfx,
LNR,N,NOUN
LR,PRODEM,PRON
NI,PTCL,PART
NN,sfx,
NN.ADJ,sfx,
NN.AUG,sfx,
NN.DIM,sfx,
NR,N,NOUN
NR.PLEON,N,NOUN
NR.PROP,N,PROPN
NZ,sfx,
PRE,pfx,
PRO,PRODEM,PRON
VI,sfx,
VR,V,VERB
VR.PLEON,V,VERB
VV,sfx,
VV.ADV,ADV,ADV
VV.ASP,sfx,
VV.IV,V,VERB
VV.TNS,sfx,
VV.VA,sfx,
VZ,sfx,
WH,PRODEM,PRON
