ar,ar
ar&NEG,na
ar&NEG&OBL,nakereba
baachan,baachan
bu,bu
CAUS:contr,ash
chama,chama
chan,chan
chuu,chuu
COND:contr,yaa
CONN&wa,tya
dai,dai
dan,dan
gatsu,gatsu
goto,goto
gozaimas,gozaimas
gozans,gozans
gozar,gozar
hen,hen
hiki,hiki
hin,hin
hon,hon
IMP:te,te
IMPt:e,te
ji,ji
jikan,jikan
ka,ka
kagetsu,kagetsu
kai,kai
kasho,kasho
kko,kko
kun,kun
mai,mai
me,me
mee,mee
na&NEG&IMP,na
NEG,na
NEG:hen&PRES,hen
NEG:hin&PRES,hin
NEG:n&PRES,n
NEG:nu&PRES,nu
NEG:zu&PRES,zu
NEG&CONN:de,naide
NEG&CONN:na,na
NEG&CONN&wa,nakya
NEG&IMP:de,naide
nen,nen
nichi,nichi
nin,nin
POT:contr,re
ra,ra
ri,ri
sai,sai
sama,sama
san,san
satsu,satsu
shuukan,shuukan
soku,soku
soo,soo
sugi&SGER,sugi
tachi,tachi
tsu,tsu
wa,wa
