adj,ADJ,ADJ
adj.mot,ADJ,ADJ
adn,ADJ,ADJ
adn.deic.dem,PRODEM,DET
adn.deic.wh,PRODEM,DET
adv,ADV,ADV
adv.deic.dem,ADV,ADV
adv.deic.indef,ADV,ADV
adv.deic.wh,ADV,ADV
adv.onoma,ADV,ADV
bab,,X
chi,,X
co.g,INTJ,INTJ
co.i,INTJ,INTJ
conj,CONJ,CCONJ
d.deic.dem,PRODEM,PRON
deic.indef,PRODEM,PRON
fam,,X
L2,,
meta,,
n,N,NOUN
n.an,N,NOUN
n.an.mot,N,NOUN
n.deic.dem,PRODEM,PRON
n.deic.indef,PRODEM,PRON
n.deic.prs,PRODEM,PRON
n.deic.wh,PRODEM,PRON
n.fml,N,NOUN
n.let,N,NOUN
n.mot,N,NOUN
n.prop,N,PROPN
n.vn,N,NOUN
n.vn.mot,N,NOUN
neo,,X
num,NUM,NUM
onoma,IDEOPH,INTJ
pfx,pfx,
ptl.attr,PTCL,PART
ptl.case,POST,ADP
ptl.conj,PTCL,PART
ptl.coo,PTCL,PART
ptl.fina,PTCL,PART
ptl.foc,PTCL,PART
ptl.post,POST,ADP
ptl.quot,PTCL,PART
ptl.snr,PTCL,PART
ptl.top,PTCL,PART
sfx,sfx,
smod,PTCL,PART
uni,,
unimeta,INTJ,INTJ
v,V,VERB
v.c,V,VERB
v.c.sub,V,VERB
v.cop,V,VERB
v.ir,V,VERB
v.ir.sub,V,VERB
v.ir.subs,V,VERB
v.irsub,V,VERB
v.v,V,VERB
v.v.sub,V,VERB
vv.cop,V,VERB
wplay,,X
