1.o,1.OBJ
1.o.beat,1.OBJ.beat
1du,1DU
1du.poss,1DU.POSS
1nsg,1NSG
1nsg.o,1NSG.OBJ
1nsg.o.beat,1NSG.OBJ.beat
1pl,1PL
1pl.poss,1PL.POSS
1sg,1SG
1sg.np,PST.NEAR.1SG
1sg.o,1SG.OBJ
1sg.poss,1SG.POSS
2.3pl,2/3PL
2/3du,2/3DU
2/3pl,2/3PL
2nsg.o,2NSG.OBJ
2pl.poss,2PL.POSS
2sg,2SG
2sg.o,2SG.OBJ
2sg.o.beat,2SG.OBJ.beat
2sg.poss,2SG.POSS
2sg.pro.emph,2SG.EMPH
3.o,3.OBJ
3du.poss,3DU.POSS
3nsg.o,3NSG.OBJ
3nsg.o.,3NSG.OBJ
3nswg.o,3NSG.OBJ
3pl.poss,3PL.POSS
3sg,3SG
3sg.o,3SG.OBJ
3sg.o.,3SG.OBJ
3sg.o.beat,3SG.OBJ.beat
3sg.o.see,3SG.OBJ.see
3sg.pooss,3SG.POSS
3sg.poss,3SG.POSS
3sg.poss.comit,3SG.POSS.COM
3sg_o,3SG.OBJ
adj,ADJZ
adv,ADVZ
att,ATTN
auto,AUTOREFL
autorefl,AUTOREFL
be.np,COP.PST.NEAR
ben,BEN
caus,CAUS
caus.2/3pl,CAUS.2/3PL
caus.3sg,CAUS.3SG
coll,COLL
comit,COM
compl,COM.PL
conj,CONJ
connj,CONJ
dec,DEICT
deic,DEICT
deict,DEICT
del.imp.1sg,IMP.FUT.1SG
del.imp.2sg,IMP.FUT.2SG
dep,DEP
desid,DESID
ds.1du,1DU.DIFF.SBJ
ds.1pl,1PL.DIFF.SBJ
ds.1sg,1SG.DIFF.SBJ
ds.2/3du,2/3DU.DIFF.SBJ
ds.2/3pl,2/3PL.DIFF.SBJ
ds.2sg,2SG.DIFF.SBJ
ds.3sg,3SG.DIFF.SBJ
ds.3sg.mv,CVB.3SG.DIFF.SBJ
du,DU
dub,DUB
foc,FOC
gen,GEN
hes,HES
imnt,IMNT
imp.,IMP
imp.1du,IMP.1DU
imp.1pl,IMP.1PL
imp.1sg,IMP.1SG
imp.2/3du,IMP.2/3DU
imp.2/3pl,IMP.2/3PL
imp.3sg,IMP.3SG
imp_2sg,IMP.2SG
inf,INF
inf.pres,INF.PRES
intens,INTENS
irr,IRR
irr.du,IRR.DU
loc,LOC
mv,CVB
mv.ss,CVB.SAME.SBJ
mv.sst,CVB.SAME.SBJ
neg,NEG
nf,FUT.NEAR
nmz,NMLZ
non.specific,NSPEC
not,NEG
np,PST.NEAR
np.1du,PST.NEAR.1DU
np.1pl,PST.NEAR.1PL
np.1sg,PST.NEAR.1SG
np.2/3du,PST.NEAR.2/3DU
np.2/3pl,PST.NEAR.2/3PL
np.2sg,PST.NEAR.2SG
np.3sg,PST.NEAR.3SG
np.sg,PST.NEAR.SG
nsg.o,NSG.OBJ
nsg.o.follow,NSG.OBJ.follow
nsg.o.pick.up,NSG.OBJ.pick_up
nsg.o.take,NSG.OBJ.take
o,P
part,PTCP
perf.2sg,PRF.2SG
pl,PL
poss,POSS
pres,PRES
pres.3sg,PRES.3SG
prob,PROB
proh,PROH
proh.2sg,PROH.2SG
prox,PROX
qsg.o,NSG.OBJ
ques,Q
quot,QUOT
rel,REL
restr,RESTR
rf,FUT.REM
rp,PST.REM
sg.o,SG.OBJ
spec,SPEC
ss,SAME.SBJ
sub,SBJV
top,TOP
voc,VOC
