???,???,
a,???,
ABBREV,???,
ADJ,ADJ,ADJ
ADJ-INDECL,ADJ,ADJ
ADV,ADV,ADV
ADV-ADJ,ADJ,ADJ
ADV-MULT,ADV,ADV
BABBLE,???,X
CHILD,???,X
CHILD-ADJ,ADJ,ADJ
CHILD-NOUN,N,NOUN
CHILD-PTCP,V,VERB
CHILD-V,V,VERB
CONJ,CONJ,CCONJ
CONJ_MULT,CONJ,SCONJ
CONJ-MULT,CONJ,SCONJ
FOREIGN,???,
INAN,???,
INTERJ,INTJ,INTJ
INTERJ-MULT,INTJ,INTJ
INTERRUPT,???,X
NA,PRODEM,PRON
NAME,N,PROPN
NAME-INDECL,N,PROPN
NOUN,N,NOUN
NOUN-CHILD,N,NOUN
NOUN-INDECL,N,NOUN
NUM-1,NUM,NUM
NUM-2,NUM,NUM
NUM-5,NUM,NUM
NUM-COLL,NUM,NUM
NUM-DIGIT,NUM,NUM
NUM-INDF,NUM,NUM
NUM-INTERROG,NUM,NUM
NUM-NOUN,NUM,NUM
NUM-ORD,NUM,NUM
ONOM,IDEOPH,INTJ
ONOM-CHILD,IDEOPH,INTJ
PCL,PTCL,PART
PCL-CLITIC,PTCL,PART
PCL-MULT,PTCL,PART
PCL-NEG,PTCL,PART
PRED,ADJ,ADJ
PREP,PREP,ADP
PRO-DEF,PRODEM,PRON
PRO-DEF-ADJ,PRODEM,DET
PRO-DEF-NOUN,PRODEM,PRON
PRO-DEM,PRODEM,PRON
PRO-DEM-ADJ,PRODEM,DET
PRO-DEM-NOUN,PRODEM,PRON
PRO-IDENT-ADJ,PRODEM,DET
PRO-IDENT-NOUN,PRODEM,PRON
PRO-INDF-ADJ,PRODEM,DET
PRO-INDF-NOUN,PRODEM,PRON
PRO-INDF-PRTIL,PRODEM,DET
PRO-INTERROG,PRODEM,PRON
PRO-INTERROG-ADJ,PRODEM,DET
PRO-INTERROG-MULT,PRODEM,PRON
PRO-INTERROG-MULT-ADJ,PRODEM,DET
PRO-INTERROG-NOUN,PRODEM,PRON
PRO-INTERROG-SHORT,PRODEM,PRON
PRO-NEG-ADJ,PRODEM,DET
PRO-NEG-MULT-ADJ,PRODEM,DET
PRO-NEG-MULT-NOUN,PRODEM,PRON
PRO-NEG-NOUN,PRODEM,PRON
PRO-PERS,PRODEM,PRON
PRO-POSS,PRODEM,DET
PRO-POSS-ADJ,PRODEM,DET
PRO-REFL,PRODEM,PRON
PRO-REL-ADJ,PRODEM,DET
PRO-REL-NOUN,PRODEM,PRON
PTCP,V,VERB
PTCP-FULL,V,VERB
PTCP-SHORT,V,VERB
Q,PRODEM,DET
SOUND,IDEOPH,INTJ
SYLL,???,X
V,V,VERB
xxx,???,X
