10/aj,X.ADJ
1p,1PL
1s,1SG
2p,2PL
2s,2SG
8aj,NC.VIII.ADJ
9/aj,NC.IX.ADJ
9aj,NC.IX.ADJ
aj/dim,ADJ.DIM
ap,APPL
ap/t^pf,APPL.PRF
ap/t^pr,PRS.APPL
av,ADV
become_warm/c,become_warm.CAUS
c,CAUS
c/t^pf,PRF.CAUS
child(1irg),child(NC.I.IRR)
cj,CONJ
cl,COMPL
come/m^i,come.IMP
come/m^ip,come.IMP.PL
cp,COP
cp/ng,NEG.COP
cp1,NC.I.COP
cp10,NC.X.COP
cp14,NC.XIV.COP
cp17,NC.XVII.COP
cp1p,NC.1PL.COP
cp1s,NC.1SG.COP
cp2,NC.II.COP
cp2a,NC.IIa.COP
cp2p,NC.2PL.COP
cp2s,NC.2SG.COP
cp3,NC.III.COP
cp4,NC.IV.COP
cp5,NC.V.COP
cp6,NC.VI.COP
cp7,NC.VII.COP
cp8,NC.VIII.COP
cp9,NC.IX.COP
d1,NC.I.DEM
d10,NC.X.DEM
d14,NC.XIV.DEM
d17,NC.XVII.DEM
d2,NC.II.DEM
d3,NC.III.DEM
d4,NC.IV.DEM
d5,NC.V.DEM
d6,NC.VI.DEM
d7,NC.VII.DEM
d8,NC.VIII.DEM
d9,NC.IX.DEM
dim,DIM
eat/m^i,eat.IMP
eat/m^ip,eat.IMP.PL
fall_down/c,fall_down.CAUS
fear/c,fear.CAUS
foot(5 = 6)/dim,foot(NC.V=VI).DIM
get_full/c,get_full.CAUS
girl(1irg),girl(NC.I.IRR)
go/ap,go.APPL
go/c,go.CAUS
go_out/m^i,go_out.IMP
house(9 = 10|6)/dim,house(NC.IX=X/VI).DIM
house(9 = 10|6)/lc,house(NC.IX=X/VI).LOC
ht,HORT
ij,INTJ
inside_mouth(5 = 6)/lc,inside_mouth(NC.V=VI).LOC
inside_mouth/lc,inside_mouth.LOC
kingdom(3,4irg) = kingdom(NC.III=IV.IRR)
lc,LOC
load/ap,load.APPL
load/rv,load.REVERS
mat(3irg),mat(NC.III.IRR)
my_child(1irg),my_child(NC.I.IRR)
m^e,SBJV1
m^I,IMP
m^i,IMP
m^ind,IND
m^ip,IMP.PL
m^pt,SBJV2
m^s,SBJV1
m^sp,SBJV1.PL
m^x,NEG
m^xp,NEG.PL
ng,NEG
ng/cp,NEG.COP
nt,CHOS
n^name,a_name
obr17,NC.XVII.OBJ
obr3,NC.III.OBJ.REL
obr8,NC.VIII.OBJ.REL
obr9,NC.IX.OBJ.REL
om1,NC.I.OBJ
om10,NC.X.OBJ
om14,NC.XIV.OBJ
om17,NC.XVII.OBJ
