ADJ,ADJ,ADJ
ADP,PREP,ADP
ADP+ADP,PREP+PREP,ADP+ADP
ADP+ADV,PREP+ADV,ADP+ADV
ADP+DET,PREP+ART,ADP+DET
ADP+NOUN,PREP+N,ADP+NOUN
ADP+PRON,PREP+PRODEM,ADP+PRON
ADV,ADV,ADV
ADV+ADP,ADV+PREP,ADV+ADP
ADV+ADV,ADV+ADV,ADV+ADV
ADV+DET,ADV+ART,ADV+DET
ADV+NUM,ADV+NUM,ADV+NUM
ADV+PRON,ADV+PRODEM,ADV+PRON
AUX,AUX,AUX
AUX+DET,AUX+ART,AUX+DET
AUX+PRON,AUX+PRODEM,AUX+PRON
CCONJ,CONJ,CCONJ
CCONJ+ADV,CONJ+ADV,CCONJ+ADV
CCONJ+DET,CONJ+ART,CCONJ+DET
DET,ART,DET
INTJ,INTJ,INTJ
INTJ+INTJ,INTJ+INTJ,INTJ+INTJ
NOUN,N,NOUN
NOUN+ADP,N+PREP,NOUN+ADP
NOUN+DET,N+ART,NOUN+DET
NUM,NUM,NUM
PART,PTCL,PART
PRON,PRODEM,PRON
PROPN,N,PROPN
SCONJ,CONJ,SCONJ
SCONJ+DET,CONJ+ART,SCONJ+DET
SCONJ+PRON,CONJ+PRODEM,SCONJ+PRON
VERB,V,VERB
VERB+ADP,V+PREP,VERB+ADP
VERB+DET,V+ART,VERB+DET
VERB+PRON,V+PRODEM,VERB+PRON
