1,1
1P,1PL
1P.,1PL
1S,1SG
1S.,1SG
2S,2SG
2s,2SG
2S.,2SG
2S?,2SG
3P,3PL
3PL,3PL
3S,3SG
3S.,3SG
???,???
AB,ABL
ABIL,ABIL
ABIL&NEG,NEG.ABIL
ABİL&NEG,NEG.ABIL
ABL,ABL
ABL&NEG,NEG.ABIL
ACC,ACC
ACC.,ACC
ADJR,ADJZ
"ADJR:AN,",ADJZ
"ADJR:CI,",ADJZ
"ADJR:EN,",ADJZ
"ADJR:ER,",ADJZ
"ADJR:ICI,",ADJZ
"ADJR:KI,",ADJZ
ADJR:LI,ADJZ
"ADJR:LIK,",ADJZ
ADJR:LU,ADJZ
"ADJR:LU.,",ADJZ
"ADJR:LUK,",ADJZ
"ADJR:SIZ,",ADJZ
ADVR,ADVZ
"ADVR:CE,",ADVZ
"ADVR:DAN,",ADVZ
"ADVR:DEN,",ADVZ
ADVR:SIZ,ADVZ
"ADVR:TA,",ADVZ
"ADVR:TE,",ADVZ
AOR,AOR
AOR&1P,AOR.1PL
AOR&1S,AOR.1SG
AOR&2S,AOR.2SG
AOR&3P,AOR.3PL
AOR&3S,AOR.3SG
AOR&3s,AOR.3SG
AOR&NEG,NEG.AOR
AOR.,AOR
ASSO,ASSOC.NMLZ
ATR,ADN
ATTEN,ATTN
CASU,CAUS
CAUR,CAUS
CAUS,CAUS
CAUS.,CAUS
CM,CM
COM,COM
CON,LOC
COND,COND
COND&2S,COND.2SG
COND.,COND
CONJ,CONJ
CUAS,CAUS
DAT,DAT
DAT.,DAT
dat,DAT
DEPR,DEPR
DIK,REL
DIM,DIM
DIR,MOD
DISTR,DISTR
DUR,DUR
FUR,FUT
FUT,FUT
FUT&3S,FUT.3SG
FUT.,FUT
GEN,GEN
GEN&1S,GEN.1SG
GEN&2S,GEN.2SG
GEN&3P,GEN.3PL
GEN&3S,GEN.3SG
GEN.,GEN
GEN:ISE,CVB.COND
GEN:UP,CVB
GER,NMLZ
GER:ACAK,PTCP
GER:AN,PTCP
GER:ARAK,CVB
GER:DIK,PTCP
GER:EREK,CVB
GER:IKEN,CVB
GER:INCA,CVB
GER:INCE,CVB
GER:IP,CVB
GER:ISE,CVB.COND
GER:MA,NMLZ
GER:MADAN,NEG.CVB
GER:MAK,INF
GER:MEDEN,NEG.CVB
GER:YAN,PTCP
GER:YARAK,CVB
GER:YEREK,CVB
GER:YINCA,CVB
GER:YIP,CVB
IFV,IPFV
IMP,IMP
IMP&2P,IMP.2PL
IMP&2P.,IMP.2PL
IMP&3S,IMP.3SG
INF,INF
INF&2S,INF.2SG
INSTR,INS
INSTR.,INS
IOPT&1S,OPT.1SG
IPDV,IPFV
IPF,IPFV
IPFR,IPFV
IPFV,IPFV
IPFv,IPFV
iPFV,IPFV
IPFV&3S,IPFV.3SG
IPFV.,IPFV
IPFV2S,IPFV.2SG
IPFVv,IPFV
IPGV,IPFV
IPRV,IPFV
IPV,IPFV
IPVF,IPFV
IPVF&2S,IPFV.2SG
IPVF&3S,IPFV.3SG
LOC,LOC
LOC.,LOC
LOC?,LOC
MOD,MOD
NEG,NEG
NEG&3S,NEG.3SG
NEG&ABIL,NEG.ABIL
NEG&AOR,NEG.AOR
NEG.,NEG
NR,NMLZ
"NR:ACAK,",NMLZ
"NR:AN,",NMLZ
"NR:CI,",NMLZ
NR:DIK,NMLZ
"NR:EN,",NMLZ
"NR:IK,",NMLZ
"NR:IM,",NMLZ
"NR:IP,",NMLZ
"NR:KI,",NMLZ
"NR:LA,",NMLZ
"NR:LI,",NMLZ
NR:LIK,NMLZ
"NR:LIK.,",NMLZ
"NR:LU,",NMLZ
NR:MA,NMLZ
"NR:MACA,",NMLZ
"NR:MADAN,",NMLZ
"NR:MAK,",NMLZ
"NR:ME,",NMLZ
"NR:MEK,",NMLZ
"NR:SI,",NMLZ
"NR:TI,",NMLZ
OAR,AOR
OP&3S,OPT.3SG
OPS&3S,OPT.3SG
OPT,OPT
OPT%1S,OPT.1SG
OPT%3S,OPT.3SG
OPT&&1P,OPT.1PL
OPT&1P,OPT.1PL
OPT&1p,OPT.1PL
OPT&1P.,OPT.1PL
OPT&1PL,OPT.1PL
OPT&1S,OPT.1SG
OPT&1S.,OPT.1SG
OPT&2P,OPT.2PL
OPT&2S,OPT.2SG
OPT&3P,OPT.3PL
OPT&3S,OPT.3SG
OPT&3S.,OPT.3SG
OPT3S,OPT.3SG
OPY&1P,OPT.1PL
OPY&1S,OPT.1SG
ORD,ORD
OT&2S,OPT.2SG
OTP&1P,OPT.1PL
OTP&1S,OPT.1SG
P,P
PASS,PASS
PASS&3S,PASS.3SG
PAST,PST
PAST&1S,PST.1SG
PAST&3S,PST.3SG
PAST&3S.,PST.3SG
PAST.,PST
PAST2S,PST.2SG
PERF,PFV
PERM,PERMIS
PF,PFV
PFV,PFV
PFV&3S,PFV.3SG
PFV&3S.,PFV.3SG
PFV.,PFV
PL,PL
POIMP,IMP.POL
PONSS&2S,POSS.2SG
POS&1S,POSS.1SG
POS&2S,POSS.2SG
POS&3S,POSS.3SG
POSS,POSS
POSS%1S,POSS.1SG
POSS&1P,POSS.1PL
POSS&1S,POSS.1SG
POSS&1s,POSS.1SG
POSS&1S.,POSS.1SG
POSS&2,POSS.2
POSS&2P,POSS.2PL
POSS&2S,POSS.2SG
POSS&2s,POSS.2SG
POSs&2S,POSS.2SG
POSS&2S.,2SG
POSS&2S?,POSS.2SG
POSS&3,POSS.3
POSS&32S,POSS.2/3SG
POSS&3P,POSS.3PL
POSS&3S,POSS.3SG
POSS&3s,POSS.3SG
POSS&3S.,POSS.3SG
POSS&3SS,POSS.3SG
POSS&POSS&3S,POSS.3SG
POSS&S,POSS.SG
POSS2S,POSS.2SG
POSSS&2S,POSS.2SG
POSSS&3S,POSS.3SG
POT,POT
PPSS&1S,POSS.1SG
PROF,NMLZ
PRONR,NMLZ
PSBL,ABIL
QEU,Q
QU2S,Q.2SG
QUE,Q
QUE.,Q
QUE?,Q
QUES,Q
RECIP,RECP
REF,REF
REFL,REFL
REL,REL
REL:AN,REL
REL:DIK,REL
REL:ECEK,REL
REL:EN,REL
REL:ILI,REL
REL:MA,REL
REL:ME,REL
REL:YAN,REL
RELR,REL
RELR:DIK,REL
RELR:YACAK,REL
VOL,VOL
VR,VBZ
VR.,VBZ
"VR:AL,",VBZ
"VR:ALT,",VBZ
"VR:AR,",VBZ
"VR:EL,",VBZ
"VR:ELT,",VBZ
VR:LA,VBZ
VR:LAN,VBZ
"VR:LAS,",VBZ
VR:LE,VBZ
VR:LEN,VBZ
"VR:LEN.,",VBZ
"VR:LI,",VBZ
"VR:LU,",VBZ
"VR:R,",VBZ
"VR:UVER,",VBZ
YIP,CVB
