.PRO,PRODEM,PRON
%mor:N,N,NOUN
ACC,N,NOUN
AD:PRO,PRODEM,PRON
ADJ,ADJ,ADJ
aDJ,ADJ,ADJ
ADJ:INDEF,ADJ,DET
ADJ/N,N,NOUN
ADV,ADV,ADV
ADv,ADV,ADV
ADV:INDEF,ADV,ADV
ADV:PRO,ADV,ADV
ADV:PROP,ADV,ADV
ADV:WH,ADV,ADV
ADV/N,N,NOUN
ADV/PRO,PRODEM,PRON
ADV/V,V,VERB
ART,,DET
ART:DEM,PRODEM,DET
ART:IDEF,NUM,DET
ART:INDEF,NUM,DET
ART:WH,PRODEM,DET
ART/INDEF,NUM,DET
AVD,ADV,ADV
B,,
BIDI,,
C,,
CARD,NUM,NUM
CCO,INTJ,INTJ
CO,INTJ,INTJ
CON,CONJ,CCONJ
COND,CONJ,CCONJ
CONJ,CONJ,CCONJ
CONj,CONJ,CCONJ
DEM:PRO,PRODEM,PRON
DSM,PRODEM,PRON
DV,,
EXIST,PTCL,PART
eXIST,PTCL,PART
EXiST,PTCL,PART
EXSIT,PTCL,PART
INSTR,POST,ADP
INTER,INTJ,INTJ
INTERF,INTJ,INTJ
INTERH,INTJ,INTJ
INTERJ,INTJ,INTJ
iNTERJ,INTJ,INTJ
N,N,NOUN
n,,
N:PRO,N,PROPN
N:PROP,N,PROPN
N:PROP/N,N,PROPN
N:ROP,N,PROPN
N:RPOP,N,PROPN
N:V,V,VERB
N/:PROP,N,PROPN
N/ADJ,ADJ,ADJ
N/N,N,NOUN
N/ses-POSS&2SV,N,NOUN
NEG,PTCL,PART
NPROP,N,PROPN
NUM,NUM,NUM
ORD,NUM,ADJ
PEO,PRODEM,PRON
PO,PRODEM,PRON
POR:ADJ,PRODEM,DET
POR:DEM,PRODEM,DET
POST,POST,ADP
PR:DEM,PRODEM,PRON
PRO,PRODEM,PRON
Pro,PRODEM,PRON
pro,PRODEM,PRON
PRO:ADJ,PRODEM,DET
PRO:ADV,ADV,ADV
PRO:DEM,PRODEM,PRON
PRO:dem,PRODEM,PRON
PRO:INDEF,PRODEM,PRON
PRO:INDFE,PRODEM,PRON
PRO:REFL,PRODEM,PRON
PRODEM,PRODEM,PRON
QUE,PTCL,PART
REFL,PRODEM,PRON
RO,PRODEM,PRON
sfx,sfx,
TOP,,
TRANS,,
V,V,VERB
v,V,VERB
V/ADJ,ADJ,ADJ
V/ADV,ADV,ADV
V/EXIST,PTCL,PART
V/gelPRO,,
V/N,N,NOUN
V/V,V,VERB
V/yePRO:REFL,,
VN,N,NOUN
VO,N,NOUN
VOC,N,PROPN
VOc,N,PROPN
VOC/ADJ,ADJ,ADJ
VOC/N,N,PROPN
VOC/PRO,PRODEM,PRON
W,PRODEM,PRON
WH,PRODEM,PRON
wH,PRODEM,PRON
Wh,PRODEM,PRON
WH:AD,ADV,ADV
WH:ADV,ADV,ADV
WH:DET,PRODEM,DET
WH:PRO,PRODEM,PRON
WH/haniN:PROP,,
