source_id,corpus,duration
CLDLCh1R01S01,Chintang,466
CLDLCh1R01S02,Chintang,1916
CLDLCh1R01S03,Chintang,2278
CLDLCh1R01S04,Chintang,1611
CLDLCh1R01S05,Chintang,1158
CLDLCh2R01S01,Chintang,1883
CLDLCh2R01S02,Chintang,1423
CLDLCh2R01S03,Chintang,3435
CLDLCh2R02S01a,Chintang,709
CLDLCh2R02S01b,Chintang,1357
CLDLCh2R02S02,Chintang,1919
CLDLCh2R02S03,Chintang,2813
CLDLCh2R02S04,Chintang,2324
CLDLCh2R03S01,Chintang,1356
CLDLCh2R03S02,Chintang,1474
CLDLCh2R03S03,Chintang,687
CLDLCh2R03S04,Chintang,1278
CLDLCh2R03S05,Chintang,2255
CLDLCh2R04S01,Chintang,1560
CLDLCh2R04S02,Chintang,1391
CLDLCh2R04S03,Chintang,792
CLDLCh2R04S04,Chintang,1401
CLDLCh2R04S05,Chintang,702
CLDLCh2R04S06,Chintang,580
CLDLCh2R05S01,Chintang,2437
CLDLCh2R05S02,Chintang,1239
CLDLCh2R05S03,Chintang,1800
CLDLCh2R05S04,Chintang,1893
CLDLCh2R05S05,Chintang,2373
CLDLCh2R05S06,Chintang,1318
CLDLCh2R06S01,Chintang,691
CLDLCh2R06S02,Chintang,1439
CLDLCh2R06S03,Chintang,1191
CLDLCh2R06S04,Chintang,2061
CLDLCh2R06S05,Chintang,1285
CLDLCh2R06S06,Chintang,357
CLDLCh2R07S01,Chintang,1810
CLDLCh2R07S02,Chintang,1806
CLDLCh2R07S03,Chintang,1837
CLDLCh2R07S04,Chintang,1776
CLDLCh2R07S05,Chintang,1038
CLDLCh2R08S01,Chintang,1817
CLDLCh2R08S02,Chintang,1885
CLDLCh2R08S03,Chintang,1839
CLDLCh2R08S04,Chintang,1880
CLDLCh3R01S01,Chintang,1019
CLDLCh3R01S02,Chintang,1218
CLDLCh3R01S03,Chintang,1224
CLDLCh3R01S04,Chintang,970
CLDLCh3R01S05,Chintang,1929
CLDLCh3R02S01,Chintang,995
CLDLCh3R02S02,Chintang,829
CLDLCh3R02S03,Chintang,1920
CLDLCh3R02S04,Chintang,2431
CLDLCh3R02S05,Chintang,1169
CLDLCh3R02S06,Chintang,1706
CLDLCh3R03S01,Chintang,907
CLDLCh3R03S02,Chintang,2752
CLDLCh3R03S03,Chintang,1383
CLDLCh3R03S04,Chintang,2281
CLDLCh3R04S01,Chintang,853
CLDLCh3R04S02,Chintang,581
CLDLCh3R04S03,Chintang,959
CLDLCh3R04S04,Chintang,1289
CLDLCh3R04S05,Chintang,641
CLDLCh3R04S06,Chintang,633
CLDLCh3R04S07,Chintang,2344
CLDLCh3R04S08,Chintang,637
CLDLCh3R04S09,Chintang,701
CLDLCh3R05S01,Chintang,630
CLDLCh3R05S02,Chintang,814
CLDLCh3R05S03,Chintang,564
CLDLCh3R05S04,Chintang,1681
CLDLCh3R05S05,Chintang,907
CLDLCh3R05S06,Chintang,1360
CLDLCh3R05S07,Chintang,1421
CLDLCh3R05S08,Chintang,1339
CLDLCh3R05S09,Chintang,1512
CLDLCh3R05S10,Chintang,697
CLDLCh3R06S01,Chintang,1231
CLDLCh3R06S02,Chintang,1179
CLDLCh3R06S03,Chintang,541
CLDLCh3R06S04,Chintang,912
CLDLCh3R06S05,Chintang,1594
CLDLCh3R06S06,Chintang,1170
CLDLCh3R06S07,Chintang,1075
CLDLCh3R07S01,Chintang,1815
CLDLCh3R07S02,Chintang,1802
CLDLCh3R07S03,Chintang,1802
CLDLCh3R07S04,Chintang,1795
CLDLCh3R07S05,Chintang,1151
CLDLCh3R08S01,Chintang,1879
CLDLCh3R08S02,Chintang,1841
CLDLCh3R08S03,Chintang,1848
CLDLCh3R08S04,Chintang,1830
CLLDCh1R01S01,Chintang,3331
CLLDCh1R01S02,Chintang,3411
CLLDCh1R01S03a,Chintang,1537
CLLDCh1R01S03b,Chintang,1642
CLLDCh1R01S04,Chintang,889
CLLDCh1R02S01,Chintang,1954
CLLDCh1R02S02,Chintang,821
CLLDCh1R02S03a,Chintang,647
CLLDCh1R02S03b,Chintang,1684
CLLDCh1R02S04a,Chintang,1680
CLLDCh1R02S04b,Chintang,3366
CLLDCh1R02S05,Chintang,3477
